"Year","Season","Reg No","Name","Tattoo","CED","CED Acc","BW","BW Acc","WW","WW Acc","YW","YW Acc","Milk","Milk Acc","Total Maternal","Growth Idx"
"2024","20240808","1T237198","ARTESIAN CATTLE C0271211229","1229","-3.44","0.077","1.816","0.079","43.288","0.055","79.409","0.009","24.969","0.036","46.613","82.885"
"2024","20240808","1T237219","ARTESIAN CATTLE C0271211250","1250","-5.471","0.119","1.69","0.076","43.625","0.045","79.223","0.008","25.834","0.028","47.6465","70.594"
"2024","20240808","1T237199","ARTESIAN CATTLE C0271211230","1230","-5.493","0.112","1.69","0.076","43.625","0.045","79.223","0.008","25.834","0.028","47.6465","70.594"
"2024","20240808","1T237206","ARTESIAN CATTLE C0271211237","1237","-5.493","0.112","1.69","0.076","43.625","0.045","79.223","0.008","25.834","0.028","47.6465","70.594"
"2024","20240808","1T237200","ARTESIAN CATTLE C0271211231","1231","-3.44","0.077","1.816","0.079","43.288","0.055","79.409","0.009","24.969","0.036","46.613","82.885"
"2024","20240808","1T237201","ARTESIAN CATTLE C0271211232","1232","-3.44","0.077","1.816","0.079","43.288","0.055","79.409","0.009","24.969","0.036","46.613","82.885"
"2024","20240808","1T237212","ARTESIAN CATTLE C0271211243","1243","-5.493","0.112","1.69","0.076","43.625","0.045","79.223","0.008","25.834","0.028","47.6465","70.594"
"2024","20240808","1T237202","ARTESIAN CATTLE C0271211233","1233","-3.44","0.077","1.816","0.079","43.288","0.055","79.409","0.009","24.969","0.036","46.613","82.885"
"2024","20240808","1T237207","ARTESIAN CATTLE C0271211238","1238","-3.44","0.077","1.816","0.079","43.288","0.055","79.409","0.009","24.969","0.036","46.613","82.885"
"2024","20240808","1T237203","ARTESIAN CATTLE C0271211234","1234","-5.493","0.112","1.69","0.076","43.625","0.045","79.223","0.008","25.834","0.028","47.6465","70.594"
"2024","20240808","1T237204","ARTESIAN CATTLE C0271211235","1235","-5.493","0.112","1.69","0.076","43.625","0.045","79.223","0.008","25.834","0.028","47.6465","70.594"
"2024","20240808","1T237217","ARTESIAN CATTLE C0271211248","1248","-3.44","0.077","1.816","0.079","43.288","0.055","79.409","0.009","24.969","0.036","46.613","82.885"
"2024","20240808","1T237208","ARTESIAN CATTLE C0271211239","1239","-5.493","0.112","1.69","0.076","43.625","0.045","79.223","0.008","25.834","0.028","47.6465","70.594"
"2024","20240808","1T237213","ARTESIAN CATTLE C0271211244","1244","-5.493","0.112","1.69","0.076","43.625","0.045","79.223","0.008","25.834","0.028","47.6465","70.594"
"2024","20240808","1T237209","ARTESIAN CATTLE C0271211240","1240","-3.44","0.077","1.816","0.079","43.288","0.055","79.409","0.009","24.969","0.036","46.613","82.885"
"2024","20240808","1T237210","ARTESIAN CATTLE C0271211241","1241","-5.493","0.112","1.69","0.076","43.625","0.045","79.223","0.008","25.834","0.028","47.6465","70.594"
"2024","20240808","1T237214","ARTESIAN CATTLE C0271211245","1245","-5.493","0.112","1.69","0.076","43.625","0.045","79.223","0.008","25.834","0.028","47.6465","70.594"
